PROJECT : Irise (France)
HOUSEHOLD : 2000900
APPLIANCE : Site consumption ()

DATE(dd/mm/yy)	TIME(hh:mm)	STATE	ENERGY(Wh)
29/01/98	06:40	0	000042
29/01/98	06:50	0	000083
29/01/98	07:00	0	000066
29/01/98	07:10	0	000039
29/01/98	07:20	0	000065
29/01/98	07:30	0	000082
29/01/98	07:40	0	000083
29/01/98	07:50	0	000045
29/01/98	08:00	0	000057
29/01/98	08:10	0	000058
29/01/98	08:20	0	000092
29/01/98	08:30	0	000076
29/01/98	08:40	0	000066
29/01/98	08:50	0	000058
29/01/98	09:00	0	000052
29/01/98	09:10	0	000052
29/01/98	09:20	0	000063
29/01/98	09:30	0	000146
29/01/98	09:40	0	000409
29/01/98	09:50	0	000460
29/01/98	10:00	0	000199
29/01/98	10:10	0	000163
29/01/98	10:20	0	000167
29/01/98	10:30	0	000165
29/01/98	10:40	0	000112
29/01/98	10:50	0	000097
29/01/98	11:00	0	000102
29/01/98	11:10	0	000257
29/01/98	11:20	0	000433
29/01/98	11:30	0	000444
29/01/98	11:40	0	000257
29/01/98	11:50	0	000292
29/01/98	12:00	0	000226
29/01/98	12:10	0	000092
29/01/98	12:20	0	000081
29/01/98	12:30	0	000111
29/01/98	12:40	0	000044
29/01/98	12:50	0	000051
29/01/98	13:00	0	000081
